Category: All categories

Week,Milkshake: (United States),Hamburger: (United States),Breakup: (United States)
2024-01-28,22,66,13
2024-02-04,25,65,21
2024-02-11,22,64,15
2024-02-18,24,70,29
2024-02-25,24,64,24
2024-03-03,23,67,16
2024-03-10,26,69,24
2024-03-17,25,64,18
2024-03-24,23,65,17
2024-03-31,21,62,14
2024-04-07,21,64,14
2024-04-14,22,69,18
2024-04-21,22,66,15
2024-04-28,21,71,13
2024-05-05,21,63,13
2024-05-12,21,67,13
2024-05-19,21,74,13
2024-05-26,22,100,13
2024-06-02,23,74,14
2024-06-09,22,71,17
2024-06-16,22,72,23
2024-06-23,22,69,13
2024-06-30,23,97,13
2024-07-07,23,69,14
2024-07-14,23,68,13
2024-07-21,22,69,13
2024-07-28,21,69,12
2024-08-04,23,67,10
2024-08-11,23,65,10
2024-08-18,21,68,11
2024-08-25,21,68,11
2024-09-01,21,67,16
2024-09-08,19,62,11
2024-09-15,19,73,11
2024-09-22,20,60,12
2024-09-29,19,61,13
2024-10-06,20,62,12
2024-10-13,18,61,13
2024-10-20,20,63,14
2024-10-27,18,60,13
2024-11-03,17,54,12
2024-11-10,21,58,13
2024-11-17,20,58,13
2024-11-24,17,52,12
2024-12-01,17,53,13
2024-12-08,18,55,14
2024-12-15,17,57,12
2024-12-22,18,57,12
2024-12-29,22,65,17
2025-01-05,24,62,13
2025-01-12,24,64,14
2025-01-19,23,63,13
2025-01-26,23,62,13
2025-02-02,26,64,14
2025-02-09,23,62,17
2025-02-16,26,66,15
2025-02-23,29,67,14
